Gene Symbol	Gene ID	Median (Tumor)	Median (Normal)	Log2(Fold Change)	adjp
ITPK1	ENSG00000100605.16	56.521	19.77	1.47	7.90E-33
BANF1	ENSG00000175334.7	194.536	69.642	1.469	5.74E-56
CSF2RA	ENSG00000198223.14	5.145	1.22	1.469	2.56E-41
ZBTB33	ENSG00000177485.6	9.265	2.71	1.468	2.01E-87
GSTCD	ENSG00000138780.14	5.28	1.27	1.468	7.32E-54
OR7E14P	ENSG00000184669.7	9.98	2.97	1.468	7.65E-35
SHROOM3	ENSG00000138771.14	29.08	9.87	1.468	1.54E-27
MOGAT2	ENSG00000166391.14	2.485	0.26	1.468	2.86E-08
UPF2	ENSG00000151461.19	18.38	6.01	1.467	1.48E-57
IL2RA	ENSG00000134460.15	2.785	0.37	1.466	2.49E-41
BZW1	ENSG00000082153.17	85.315	30.239	1.466	4.18E-41
SUMO2	ENSG00000188612.11	270.736	97.409	1.465	7.32E-59
EPT1	ENSG00000138018.17	9.13	2.67	1.465	2.38E-54
STK24	ENSG00000102572.14	118.878	42.411	1.465	3.60E-50
PIK3C2B	ENSG00000133056.13	20.06	6.63	1.465	4.36E-49
AGO2	ENSG00000123908.11	13.245	4.16	1.465	6.63E-45
FBXL18	ENSG00000155034.18	5.15	1.23	1.464	2.66E-64
WNK1	ENSG00000060237.16	46.38	16.18	1.464	9.65E-28
ZNF296	ENSG00000170684.8	5.45	1.34	1.463	1.51E-52
KIF5B	ENSG00000170759.10	55.209	19.39	1.463	1.25E-43
SEZ6L2	ENSG00000174938.14	25.965	8.78	1.463	2.31E-39
S100A6	ENSG00000197956.9	1335.902	484.112	1.463	1.11E-23
ALDH1B1	ENSG00000137124.6	22.3	7.45	1.463	1.77E-16
PIK3CB	ENSG00000051382.8	21.15	7.04	1.462	6.90E-65
MAPK6	ENSG00000069956.11	17.405	5.68	1.462	1.15E-47
BPNT1	ENSG00000162813.17	21.599	7.21	1.461	6.48E-50
RNF19B	ENSG00000116514.16	20.831	6.93	1.461	1.15E-47
ZNF146	ENSG00000167635.11	37.605	13.03	1.46	4.84E-59
CKAP5	ENSG00000175216.14	39.115	13.58	1.46	2.93E-54
CDC25B	ENSG00000101224.17	43.081	15.02	1.46	6.62E-25
C3	ENSG00000125730.16	279.857	101.089	1.46	5.16E-11
PGM2L1	ENSG00000165434.7	4.03	0.83	1.459	8.45E-76
MANEA	ENSG00000172469.14	7.745	2.18	1.459	8.27E-56
ACTR3	ENSG00000115091.11	116.013	41.55	1.459	9.65E-49
RBM38	ENSG00000132819.16	32.355	11.13	1.459	1.62E-19
VKORC1L1	ENSG00000196715.5	17.16	5.61	1.458	1.92E-68
CASP1	ENSG00000137752.22	25.509	8.65	1.458	1.09E-20
MTSS1L	ENSG00000132613.14	29.339	10.04	1.458	6.02E-09
HIST1H2BH	ENSG00000275713.1	2.295	0.2	1.457	1.36E-26
BROX	ENSG00000162819.11	25.69	8.73	1.456	2.25E-70
CACYBP	ENSG00000116161.17	73.241	26.06	1.456	3.87E-47
UBALD2	ENSG00000185262.8	96.499	34.53	1.456	2.82E-40
MBNL2	ENSG00000139793.18	31.645	10.9	1.456	7.30E-32
HIST1H1E	ENSG00000168298.5	2.95	0.44	1.456	5.00E-31
NFKBIE	ENSG00000146232.14	13.535	4.3	1.455	3.44E-63
HLA-C	ENSG00000204525.14	729.012	265.192	1.455	4.60E-33
SPINT1	ENSG00000166145.14	134.214	48.331	1.455	3.23E-30
APOBEC3C	ENSG00000244509.3	22.529	7.58	1.455	2.35E-26
ECE2	ENSG00000145194.17	8.69	2.54	1.453	3.63E-63
FAM91A1	ENSG00000176853.15	22.63	7.63	1.453	9.02E-57
PTDSS1	ENSG00000156471.12	63.467	22.54	1.453	3.14E-56
DTYMK	ENSG00000168393.12	26.881	9.18	1.453	1.09E-55
OLFM2	ENSG00000105088.8	5.6	1.41	1.453	1.95E-33
SORD	ENSG00000140263.13	28.545	9.79	1.453	1.25E-31
XKR9	ENSG00000221947.7	2.64	0.33	1.453	8.65E-25
ENTPD2	ENSG00000054179.11	10.8	3.31	1.453	3.17E-19
FAM72A	ENSG00000196550.10	3.515	0.65	1.452	1.23E-69
YDJC	ENSG00000161179.13	28.964	9.95	1.452	6.19E-62
PNPO	ENSG00000108439.9	18.42	6.1	1.452	5.31E-59
SH2B3	ENSG00000111252.10	11.825	3.69	1.451	4.88E-54
SPPL3	ENSG00000157837.15	41.08	14.39	1.451	1.91E-42
MOGAT3	ENSG00000106384.10	1.735	0	1.451	1.62E-22
NUDT4	ENSG00000173598.13	43.575	15.31	1.45	3.27E-36
NTM	ENSG00000182667.14	4.19	0.9	1.45	2.39E-17
SECTM1	ENSG00000141574.7	29.104	10.02	1.45	1.03E-14
SLC35F6	ENSG00000213699.8	22.635	7.66	1.449	3.50E-64
MIA	ENSG00000261857.6	8.859	2.61	1.449	1.00E-09
ATF2	ENSG00000115966.16	20.805	6.99	1.448	1.21E-48
KDSR	ENSG00000119537.15	30.43	10.52	1.448	1.49E-39
HCK	ENSG00000101336.12	8.605	2.52	1.448	3.17E-27
DYRK2	ENSG00000127334.10	13.745	4.41	1.447	1.85E-50
TNFRSF21	ENSG00000146072.6	57.035	20.281	1.447	3.42E-30
ARPC5	ENSG00000162704.15	130.494	47.251	1.446	1.06E-69
POLR2K	ENSG00000147669.10	78.536	28.191	1.446	1.08E-65
TFG	ENSG00000114354.12	113.554	41.04	1.446	1.15E-63
HES1	ENSG00000114315.3	61.941	22.099	1.446	3.55E-51
CEP41	ENSG00000106477.18	7.285	2.04	1.446	4.56E-49
VOPP1	ENSG00000154978.12	45.121	15.93	1.446	2.93E-48
WDHD1	ENSG00000198554.11	3.905	0.8	1.446	4.47E-39
ZFHX3	ENSG00000140836.14	6.275	1.67	1.446	7.09E-36
PLCB3	ENSG00000149782.11	27.31	9.39	1.446	8.56E-30
SDC3	ENSG00000162512.15	26.739	9.19	1.445	5.16E-16
ATP2A2	ENSG00000174437.16	115.515	41.821	1.444	2.97E-57
TGIF1	ENSG00000177426.20	72.173	25.899	1.444	8.66E-53
HNF1A	ENSG00000135100.17	10.89	3.37	1.444	8.03E-42
HSD17B11	ENSG00000198189.10	51.819	18.41	1.444	1.46E-28
UBE2K	ENSG00000078140.13	60.045	21.45	1.443	1.04E-55
MPZL1	ENSG00000197965.11	89.164	32.159	1.443	3.23E-52
TIMELESS	ENSG00000111602.11	11.32	3.53	1.443	6.92E-51
ENTPD7	ENSG00000198018.6	5.905	1.54	1.443	2.68E-50
DCAF12	ENSG00000198876.12	22.25	7.56	1.442	5.54E-67
UBE2D1	ENSG00000072401.14	15.3	5	1.442	5.06E-66
KPNA1	ENSG00000114030.12	27.826	9.61	1.442	1.86E-47
RPL38	ENSG00000172809.12	1901.47	699.072	1.442	6.36E-38
NUP37	ENSG00000075188.8	21.725	7.37	1.441	1.53E-73
DIP2B	ENSG00000066084.12	10.35	3.18	1.441	5.99E-63
APEX2	ENSG00000169188.4	16.12	5.31	1.44	2.88E-76
DCAF7	ENSG00000136485.14	35.084	12.3	1.44	3.19E-74
AUNIP	ENSG00000127423.10	2.555	0.31	1.44	5.17E-71
ATP6AP2	ENSG00000182220.13	75.284	27.11	1.44	1.63E-45
PIM2	ENSG00000102096.9	19.245	6.46	1.44	1.05E-16
SLC16A3	ENSG00000141526.14	41.54	14.69	1.439	6.30E-32
LIN9	ENSG00000183814.15	4.635	1.08	1.438	2.84E-79
PPAT	ENSG00000128059.8	6.29	1.69	1.438	1.84E-73
GPR137B	ENSG00000077585.13	14.575	4.75	1.438	2.23E-55
TTF2	ENSG00000116830.11	12.25	3.89	1.438	1.18E-48
RNF24	ENSG00000101236.16	10.08	3.09	1.438	7.65E-43
PDGFRB	ENSG00000113721.13	36.043	12.67	1.438	9.46E-24
HEG1	ENSG00000173706.12	14.765	4.82	1.438	7.81E-23
MRPL13	ENSG00000172172.7	46.636	16.59	1.437	1.41E-67
VPS53	ENSG00000141252.19	19.11	6.43	1.437	4.73E-54
CLSTN1	ENSG00000171603.16	70.8	25.509	1.437	1.11E-42
DTX2	ENSG00000091073.19	35.589	12.51	1.437	2.28E-38
SLC35C1	ENSG00000181830.8	21.711	7.39	1.437	7.41E-38
PKM	ENSG00000067225.17	496.878	182.999	1.436	1.31E-48
DSP	ENSG00000096696.13	52.603	18.81	1.436	1.26E-27
ABO	ENSG00000175164.13	7.415	2.11	1.436	9.82E-12
XRCC2	ENSG00000196584.2	2.245	0.2	1.435	6.76E-76
PCGF5	ENSG00000180628.14	40.055	14.18	1.435	4.72E-74
AIMP2	ENSG00000106305.9	28.605	9.95	1.435	3.00E-64
KCNK1	ENSG00000135750.14	23.435	8.04	1.435	5.13E-23
STK4	ENSG00000101109.11	15.135	4.97	1.434	6.96E-79
ATP13A2	ENSG00000159363.17	39.115	13.85	1.434	6.45E-63
RSL1D1	ENSG00000171490.12	114.646	41.81	1.434	6.93E-62
C11orf80	ENSG00000173715.15	11.485	3.62	1.434	1.45E-38
B3GALT5	ENSG00000183778.17	2.405	0.26	1.434	1.06E-14
GPD1	ENSG00000167588.12	4.35	0.98	1.434	2.38E-09
MMP3	ENSG00000149968.11	4.079	0.88	1.434	1.06E-08
FRS2	ENSG00000166225.8	10.365	3.21	1.433	2.46E-43
EFNB1	ENSG00000090776.5	26.145	9.06	1.432	1.16E-36
LCK	ENSG00000182866.16	7.77	2.25	1.432	9.01E-28
CRABP2	ENSG00000143320.8	7.525	2.16	1.432	5.67E-13
TFAP4	ENSG00000090447.11	11.755	3.73	1.431	2.33E-75
AMMECR1	ENSG00000101935.9	5.905	1.56	1.431	7.38E-72
CLPB	ENSG00000162129.12	12.645	4.06	1.431	7.61E-72
ZDHHC5	ENSG00000156599.10	45.446	16.22	1.431	1.30E-62
SEH1L	ENSG00000085415.15	20.549	6.99	1.431	7.07E-62
KIAA1715	ENSG00000144320.13	8.735	2.61	1.431	2.42E-58
RFK	ENSG00000135002.11	25.965	9	1.431	4.06E-50
BBX	ENSG00000114439.18	13.83	4.5	1.431	6.97E-38
PLEKHA1	ENSG00000107679.14	25.6	8.87	1.43	9.27E-40
NR5A2	ENSG00000116833.13	2.745	0.39	1.43	2.62E-32
SOWAHC	ENSG00000198142.4	8.455	2.51	1.43	4.18E-31
SLC22A18AS	ENSG00000254827.5	3.07	0.51	1.43	2.49E-27
PLEK	ENSG00000115956.9	7.97	2.33	1.43	8.42E-23
CHAF1A	ENSG00000167670.15	10.69	3.34	1.429	3.12E-77
TOP1	ENSG00000198900.5	51.085	18.34	1.429	1.83E-71
ORAI1	ENSG00000276045.1	30.149	10.57	1.429	4.04E-67
FANCD2	ENSG00000144554.10	7.51	2.16	1.429	7.70E-43
TMEM206	ENSG00000065600.12	5.16	1.29	1.428	1.55E-76
SGPL1	ENSG00000166224.16	18.56	6.27	1.428	1.20E-64
FOXD1	ENSG00000251493.3	1.96	0.1	1.428	2.38E-22
CIB2	ENSG00000136425.12	7.29	2.08	1.428	6.52E-10
FAM208B	ENSG00000108021.19	23.34	8.05	1.427	7.39E-75
SIRPG	ENSG00000089012.14	2.845	0.43	1.427	3.76E-36
MUC12	ENSG00000205277.9	3.545	0.69	1.427	1.83E-25
SPDL1	ENSG00000040275.16	9.4	2.87	1.426	1.52E-76
XXYLT1	ENSG00000173950.15	8.7	2.61	1.426	1.48E-50
RAI14	ENSG00000039560.13	17.105	5.74	1.426	8.59E-37
ACTB	ENSG00000075624.13	4546.371	1690.81	1.426	1.02E-22
AREG	ENSG00000109321.10	17.06	5.72	1.426	7.86E-08
CSTF2	ENSG00000101811.13	11.86	3.79	1.425	7.09E-68
VAV2	ENSG00000160293.16	15.385	5.1	1.425	6.43E-61
ITPRIPL2	ENSG00000205730.6	13.795	4.51	1.425	8.57E-41
SLC43A3	ENSG00000134802.17	28.665	10.05	1.425	8.51E-18
KPNA4	ENSG00000186432.8	17.86	6.03	1.424	3.89E-44
TNFRSF11B	ENSG00000164761.8	2.515	0.31	1.424	1.46E-30
HIST3H2A	ENSG00000181218.5	9.79	3.02	1.424	2.08E-21
DCLRE1C	ENSG00000152457.17	8.65	2.6	1.423	3.43E-71
USP14	ENSG00000101557.14	30.685	10.82	1.423	2.40E-56
LRP5	ENSG00000162337.11	56.228	20.34	1.423	2.96E-46
IRF1	ENSG00000125347.13	61.3	22.23	1.423	6.90E-28
PON2	ENSG00000105854.12	53.006	19.14	1.423	2.83E-25
MFSD2A	ENSG00000168389.17	5.89	1.57	1.423	1.06E-18
C1GALT1C1	ENSG00000171155.7	25.884	9.03	1.422	2.89E-79
ERAP1	ENSG00000164307.12	27.734	9.72	1.422	3.55E-42
CCL3L3	ENSG00000276085.1	2.67	0.37	1.422	1.35E-33
ARPP19	ENSG00000128989.10	43.31	15.55	1.421	2.09E-42
NLN	ENSG00000123213.22	8.02	2.37	1.42	5.84E-59
RAD21	ENSG00000164754.12	74.731	27.31	1.42	2.65E-40
HES4	ENSG00000188290.10	17.195	5.8	1.42	4.58E-26
LAMA3	ENSG00000053747.15	27.01	9.47	1.42	3.15E-14
RUVBL2	ENSG00000183207.12	75.269	27.521	1.419	9.34E-65
GORASP2	ENSG00000115806.12	85.9	31.499	1.419	1.45E-62
SMIM15	ENSG00000188725.7	35.926	12.81	1.419	2.05E-60
BIVM-ERCC5	ENSG00000270181.1	2.69	0.38	1.419	4.66E-30
PATL1	ENSG00000166889.13	29.4	10.38	1.418	9.71E-78
FAM72C	ENSG00000263513.5	1.94	0.1	1.418	2.65E-54
CCR1	ENSG00000163823.3	3.89	0.83	1.418	5.77E-36
DPYSL2	ENSG00000092964.16	24.899	8.69	1.418	1.05E-21
TECR	ENSG00000099797.11	172.003	63.791	1.417	5.22E-46
IL18BP	ENSG00000137496.17	16.52	5.56	1.417	7.92E-33
CKMT1A	ENSG00000223572.9	35.049	12.5	1.417	1.44E-19
GJB1	ENSG00000169562.9	23.555	8.2	1.416	6.57E-25
KRT23	ENSG00000108244.16	2.015	0.13	1.416	3.87E-18
TRUB1	ENSG00000165832.5	10.01	3.13	1.415	2.64E-84
RAE1	ENSG00000101146.12	29.845	10.57	1.415	1.00E-61
ZC3HAV1L	ENSG00000146858.7	4.04	0.89	1.415	1.66E-52
EXOC5	ENSG00000070367.15	16.765	5.66	1.415	1.33E-26
HMGXB4	ENSG00000100281.13	13.26	4.35	1.414	1.01E-78
POU2F2	ENSG00000028277.20	4.915	1.22	1.414	3.58E-30
SPIB	ENSG00000269404.6	2.33	0.25	1.414	6.68E-19
ZNF574	ENSG00000105732.11	14.895	4.97	1.413	9.27E-64
SUB1	ENSG00000113387.11	225.369	84.027	1.413	3.43E-60
RALBP1	ENSG00000017797.11	35.525	12.72	1.413	2.85E-58
DERL1	ENSG00000136986.9	45.795	16.57	1.413	1.61E-53
IGHV4-4	ENSG00000276775.1	4.91	1.22	1.413	3.81E-05
NEDD1	ENSG00000139350.11	9.325	2.88	1.412	9.90E-56
MYO1B	ENSG00000128641.17	19.105	6.56	1.411	2.97E-49
CTTNBP2NL	ENSG00000143079.14	10.275	3.24	1.411	6.61E-46
C9orf41	ENSG00000156017.12	8.145	2.44	1.411	2.38E-43
SCIMP	ENSG00000161929.14	3.335	0.63	1.411	2.45E-35
CALU	ENSG00000128595.16	66.68	24.45	1.411	2.15E-30
IKZF3	ENSG00000161405.16	3.495	0.69	1.411	1.76E-28
SLCO3A1	ENSG00000176463.13	12.48	4.07	1.411	5.97E-21
MRPL17	ENSG00000158042.8	50.67	18.45	1.41	7.72E-80
TRAF3	ENSG00000131323.14	9.255	2.86	1.41	1.41E-65
SYNCRIP	ENSG00000135316.17	50.646	18.439	1.41	3.70E-53
THOC3	ENSG00000051596.9	29.8	10.59	1.41	3.91E-52
HSPD1	ENSG00000144381.16	214.591	80.12	1.41	3.72E-37
ELOVL7	ENSG00000164181.13	6.36	1.77	1.41	3.90E-37
TSPAN8	ENSG00000127324.8	389.829	146.067	1.41	9.53E-22
CD3EAP	ENSG00000117877.10	4.895	1.22	1.409	2.47E-56
UBQLN2	ENSG00000188021.8	19.55	6.74	1.409	1.09E-46
AP2B1	ENSG00000006125.16	75.763	27.899	1.409	7.25E-44
ACTG1	ENSG00000184009.9	3068.248	1155.177	1.409	3.66E-41
GNAI2	ENSG00000114353.16	168.498	62.821	1.409	1.51E-33
RP5-857K21.6	ENSG00000237973.1	170.053	63.429	1.409	4.62E-09
TOX3	ENSG00000103460.16	17.1	5.82	1.408	1.24E-22
GLIS3	ENSG00000107249.21	4.44	1.05	1.408	1.86E-22
NID2	ENSG00000087303.16	11.655	3.77	1.408	7.85E-10
POLR2D	ENSG00000144231.10	17.065	5.81	1.407	1.03E-62
RP11-44F14.2	ENSG00000261804.1	2.845	0.45	1.407	4.86E-31
RMI1	ENSG00000178966.15	6.74	1.92	1.406	2.96E-69
SMC3	ENSG00000108055.9	24.195	8.51	1.406	2.49E-57
GNPDA1	ENSG00000113552.15	24.655	8.68	1.406	3.03E-53
TSPAN13	ENSG00000106537.7	63.245	23.25	1.406	1.29E-40
MAPK13	ENSG00000156711.16	42.299	15.34	1.406	1.03E-37
SEC23A	ENSG00000100934.14	24.92	8.78	1.406	8.39E-20
HOXB6	ENSG00000108511.9	7.77	2.31	1.406	5.86E-10
LINC01133	ENSG00000224259.5	22.35	7.81	1.406	5.92E-07
RBBP8	ENSG00000101773.16	17.305	5.91	1.405	3.37E-52
ITGAL	ENSG00000005844.17	8.24	2.49	1.405	8.13E-27
CREB3L1	ENSG00000157613.10	102.653	38.149	1.405	1.97E-25
CES2	ENSG00000172831.11	41.889	15.2	1.405	1.74E-12
H2AFV	ENSG00000105968.18	147.512	55.161	1.403	1.08E-73
TNFSF15	ENSG00000181634.7	3.125	0.56	1.403	9.19E-50
RNASE6	ENSG00000169413.2	14.47	4.85	1.403	3.21E-30
ZBTB38	ENSG00000177311.10	25.36	8.97	1.403	1.77E-28
IGLV6-57	ENSG00000211640.3	13.359	4.43	1.403	3.10E-06
HNRNPAB	ENSG00000197451.10	159.929	59.891	1.402	8.79E-72
SNHG16	ENSG00000163597.14	65.956	24.33	1.402	9.86E-59
ZFP36L2	ENSG00000152518.6	170.638	63.968	1.402	6.03E-41
RNF38	ENSG00000137075.17	18.445	6.36	1.402	4.94E-27
C1QA	ENSG00000173372.16	96.535	35.911	1.402	6.73E-19
BIK	ENSG00000100290.2	17.7	6.08	1.401	1.67E-39
UBE2W	ENSG00000104343.19	12.065	3.95	1.4	2.11E-64
MCM8	ENSG00000125885.13	6.415	1.81	1.4	2.18E-52
IFIT2	ENSG00000119922.8	4.62	1.13	1.4	1.17E-30
CALCRL	ENSG00000064989.12	9.105	2.83	1.4	8.07E-30
FNDC3B	ENSG00000075420.12	26.06	9.26	1.399	8.27E-54
ARL5B	ENSG00000165997.4	9.205	2.87	1.399	1.27E-46
CXCR5	ENSG00000160683.4	6.175	1.72	1.399	7.19E-38
LRRC61	ENSG00000127399.14	15.025	5.08	1.398	9.54E-63
KNTC1	ENSG00000184445.11	15.555	5.28	1.398	3.77E-45
ZNF714	ENSG00000160352.15	4.325	1.02	1.398	7.50E-44
CCNK	ENSG00000090061.17	41.296	15.06	1.397	1.30E-74
REL	ENSG00000162924.13	4.98	1.27	1.397	7.21E-58
HIST1H4J	ENSG00000197238.4	6.85	1.98	1.397	4.82E-55
PPM1N	ENSG00000213889.10	3.74	0.8	1.397	4.96E-45
RAB10	ENSG00000084733.10	77.109	28.689	1.396	1.82E-45
IL7	ENSG00000104432.12	3.42	0.68	1.396	1.81E-38
ANGPT2	ENSG00000091879.13	3.58	0.74	1.396	5.22E-37
TGFB1	ENSG00000105329.9	40.165	14.64	1.396	4.71E-33
RCN3	ENSG00000142552.7	27.74	9.92	1.396	5.99E-25
FBXO28	ENSG00000143756.11	13.705	4.59	1.395	1.51E-61
KLHL11	ENSG00000178502.5	3.34	0.65	1.395	2.64E-45
TCF19	ENSG00000137310.11	9.415	2.96	1.395	2.57E-44
FOXJ1	ENSG00000129654.7	1.945	0.12	1.395	3.05E-23
PRIM2	ENSG00000146143.17	8.095	2.46	1.394	6.18E-91
ATIC	ENSG00000138363.14	79.475	29.619	1.394	1.54E-60
LRRC16A	ENSG00000079691.16	14.685	4.97	1.394	1.21E-55
LRRC20	ENSG00000172731.13	7.91	2.39	1.394	1.03E-26
DDX18	ENSG00000088205.12	36.845	13.42	1.392	2.83E-76
IFNAR2	ENSG00000159110.19	17.995	6.24	1.392	1.73E-60
MLEC	ENSG00000110917.7	81.506	30.431	1.392	2.31E-57
TMEM127	ENSG00000135956.8	48.04	17.701	1.391	1.20E-43
STK17B	ENSG00000081320.10	10.685	3.46	1.39	1.52E-40
EPS8	ENSG00000151491.12	38.161	13.94	1.39	5.24E-31
IL13RA1	ENSG00000131724.10	44.09	16.2	1.39	1.61E-29
SIRPB1	ENSG00000101307.15	2.8	0.45	1.39	9.01E-29
TCF20	ENSG00000100207.18	16.235	5.58	1.389	7.82E-60
IRAK1	ENSG00000184216.11	58	21.52	1.389	5.47E-54
HSPA5	ENSG00000044574.7	194.603	73.679	1.389	6.12E-44
CCDC109B	ENSG00000005059.15	9.775	3.12	1.387	5.19E-42
CTSZ	ENSG00000101160.13	147.15	55.641	1.387	6.73E-37
DUSP10	ENSG00000143507.17	5.67	1.55	1.387	4.30E-34
ZNF488	ENSG00000265763.3	1.93	0.12	1.387	1.82E-33
RP11-295K3.1	ENSG00000250644.2	3.89	0.87	1.387	9.39E-33
TMEM68	ENSG00000167904.14	14.21	4.82	1.386	2.45E-71
KDELR1	ENSG00000105438.8	213.02	80.873	1.386	1.49E-68
DDX6	ENSG00000110367.11	31.82	11.56	1.386	7.87E-41
ZNF462	ENSG00000148143.12	3.835	0.85	1.386	1.12E-19
IGKV3-11	ENSG00000241351.2	235.094	89.331	1.386	1.51E-08
ULBP3	ENSG00000131019.10	2.29	0.26	1.385	6.21E-42
MAML2	ENSG00000184384.13	6.255	1.78	1.384	2.63E-39
MYD88	ENSG00000172936.12	41.885	15.44	1.383	2.43E-52
YTHDF3	ENSG00000185728.16	26.73	9.63	1.383	8.61E-50
CD83	ENSG00000112149.9	5.155	1.36	1.383	7.00E-47
BUB3	ENSG00000154473.17	77.945	29.28	1.382	2.08E-68
CSNK2A1	ENSG00000101266.16	54.528	20.3	1.382	3.10E-64
MDH2	ENSG00000146701.11	224.06	85.372	1.382	2.72E-43
BRIP1	ENSG00000136492.8	2.18	0.22	1.382	1.56E-37
IGLV3-1	ENSG00000211673.2	35.69	13.08	1.382	4.90E-07
GATC	ENSG00000257218.5	15.57	5.36	1.381	4.92E-71
RPP40	ENSG00000124787.13	7.75	2.36	1.381	2.48E-60
EHD4	ENSG00000103966.9	22.626	8.08	1.38	1.21E-46
KIAA2013	ENSG00000116685.15	55.199	20.589	1.38	1.77E-45
SERPINB1	ENSG00000021355.12	124.133	47.081	1.38	6.73E-25
RASAL2	ENSG00000075391.16	7.95	2.44	1.379	4.86E-39
U1	ENSG00000270722.1	1.6	0	1.379	5.19E-24
MRPL42	ENSG00000198015.12	37.715	13.9	1.378	5.19E-65
PRELID1	ENSG00000169230.9	188.588	71.928	1.378	1.17E-52
SLC16A1	ENSG00000155380.11	29.05	10.56	1.378	7.56E-25
LINC01224	ENSG00000269416.5	1.675	0.03	1.377	1.07E-35
ARHGDIB	ENSG00000111348.8	91.445	34.589	1.377	4.48E-35
IGLC7	ENSG00000211685.3	9.13	2.9	1.377	1.29E-04
SCLY	ENSG00000132330.16	13.095	4.43	1.376	4.36E-62
WDR76	ENSG00000092470.11	5.8	1.62	1.376	7.95E-53
FLVCR1	ENSG00000162769.12	6.89	2.04	1.376	3.80E-44
MID1	ENSG00000101871.14	9.38	3	1.376	8.19E-36
TMEM167A	ENSG00000174695.9	37.154	13.71	1.375	2.35E-68
LTBP2	ENSG00000119681.11	13.345	4.53	1.375	1.62E-23
SLC30A1	ENSG00000170385.9	10.505	3.44	1.374	2.49E-44
BMP2K	ENSG00000138756.17	12.655	4.27	1.374	2.92E-43
RABIF	ENSG00000183155.4	8.71	2.75	1.373	1.04E-100
CBX3	ENSG00000122565.18	97.785	37.149	1.373	1.14E-66
ATF1	ENSG00000123268.8	21.865	7.83	1.373	1.94E-59
ADK	ENSG00000156110.13	21.125	7.54	1.373	9.39E-52
PLSCR1	ENSG00000188313.12	66.075	24.899	1.373	3.96E-41
BMPR2	ENSG00000204217.12	12.21	4.1	1.373	1.65E-40
HSPH1	ENSG00000120694.19	49.285	18.42	1.373	4.05E-31
BAMBI	ENSG00000095739.10	5.81	1.63	1.373	6.27E-20
SNORA57	ENSG00000206597.1	1.59	0	1.373	1.92E-06
MRPL47	ENSG00000136522.13	44.435	16.56	1.372	8.81E-71
TMEM201	ENSG00000188807.12	9.535	3.07	1.372	1.85E-59
CAND1	ENSG00000111530.12	42.81	15.92	1.372	1.62E-38
CGREF1	ENSG00000138028.14	7.695	2.36	1.372	1.87E-22
PLEKHG1	ENSG00000120278.14	5.52	1.52	1.371	4.85E-53
DBNDD1	ENSG00000003249.13	12.94	4.39	1.371	5.20E-24
HDGF	ENSG00000143321.18	201.746	77.439	1.37	8.00E-58
CAPZA1	ENSG00000116489.12	74.163	28.08	1.37	1.34E-53
ITGA4	ENSG00000115232.13	4.815	1.25	1.37	8.38E-29
NUP62	ENSG00000213024.10	36.7	13.6	1.369	9.47E-70
ZNF562	ENSG00000171466.9	9.515	3.07	1.369	1.90E-51
RAB43	ENSG00000172780.16	12.535	4.24	1.369	8.93E-39
ASXL2	ENSG00000143970.16	8.01	2.49	1.368	1.53E-54
LASP1	ENSG00000002834.17	112.352	42.929	1.368	5.24E-50
PLXNC1	ENSG00000136040.8	4.37	1.08	1.368	1.38E-38
PSMD1	ENSG00000173692.12	63.859	24.15	1.367	1.66E-66
TPGS2	ENSG00000134779.14	53.955	20.31	1.367	1.00E-46
IQGAP1	ENSG00000140575.12	100.649	38.401	1.367	1.05E-42
HMGA2	ENSG00000149948.13	2.275	0.27	1.367	1.99E-29
PADI2	ENSG00000117115.12	3.1	0.59	1.367	5.00E-25
RPS6KA3	ENSG00000177189.12	17.785	6.29	1.366	6.96E-45
MCTP2	ENSG00000140563.14	6.58	1.94	1.366	8.99E-33
PYGB	ENSG00000100994.11	77.899	29.601	1.366	5.23E-19
ADO	ENSG00000181915.4	10.955	3.64	1.365	3.88E-73
SUGT1	ENSG00000165416.14	49.396	18.57	1.365	5.54E-64
AP5M1	ENSG00000053770.11	18.575	6.6	1.365	1.35E-60
PDF	ENSG00000258429.1	9.895	3.23	1.365	1.52E-58
ALDH18A1	ENSG00000059573.8	45.741	17.14	1.365	5.58E-57
LRP11	ENSG00000120256.9	22.38	8.08	1.365	1.12E-54
SUMO2P1	ENSG00000235238.1	3.92	0.91	1.365	1.77E-38
PPP1R12A	ENSG00000058272.15	40.864	15.25	1.365	2.52E-16
ACBD5	ENSG00000107897.18	17.115	6.04	1.364	3.75E-52
PDP1	ENSG00000164951.15	12.69	4.32	1.364	9.44E-50
VEZT	ENSG00000028203.17	28.041	10.28	1.364	5.19E-39
TCF12	ENSG00000140262.17	34.321	12.72	1.364	1.06E-33
WARS	ENSG00000140105.17	106.783	40.861	1.364	1.74E-33
SPHK1	ENSG00000176170.13	8.805	2.81	1.364	6.56E-19
GPATCH4	ENSG00000160818.16	32.751	12.12	1.363	3.61E-66
YWHAG	ENSG00000170027.6	52.691	19.87	1.363	2.52E-41
USP18	ENSG00000184979.9	7.59	2.34	1.363	7.11E-35
TMEM241	ENSG00000134490.13	4.885	1.29	1.362	2.24E-61
CALM3	ENSG00000160014.16	252.475	97.619	1.362	6.84E-38
BAZ1B	ENSG00000009954.10	26.534	9.72	1.361	3.19E-59
